employee_id,department,position,gender,age,years_of_service,education,salary,performance_score,sick_days,training_hours
DGA0028,Technology,Officer,Female,49,12,Bachelor,49900.0,58.2,1,48
DGA0029,Technology,Analyst,Male,45,24,Master,59800.0,54.6,8,2
DGA0030,Policy,Analyst,Male,34,28,Master,15000.0,46.3,1,44
DGA0031,Technology,Section Head,Female,33,21,Bachelor,18200.0,66.5,8,13
DGA0032,Policy,Analyst,Female,48,8,PhD,37800.0,91.9,8,119
DGA0033,Policy,Analyst,Female,59,26,Bachelor,28000.0,100.0,7,29
DGA0034,Finance,Officer,Female,59,28,Master,38100.0,66.4,16,113
DGA0035,Finance,Section Head,Female,42,4,Master,34100.0,,0,67
DGA0036,HR,Analyst,Female,56,26,Master,22700.0,69.1,10,17
DGA0037,Planning,Staff,Female,48,8,Bachelor,50500.0,50.2,7,61
DGA0038,Policy,Staff,Female,47,26,Master,40600.0,85.5,9,36
DGA0039,HR,Analyst,Female,56,28,Master,28300.0,78.5,6,24
DGA0040,Planning,Staff,Female,36,18,Bachelor,53100.0,100.0,2,47
DGA0041,Policy,Officer,Female,37,28,Bachelor,28900.0,52.0,2,64
DGA0042,Technology,Staff,Male,47,28,Master,20100.0,100.0,17,52
DGA0043,Policy,Staff,Male,49,5,Bachelor,37200.0,98.9,4,109
DGA0044,Finance,Officer,Male,59,9,Bachelor,39200.0,74.7,11,78
DGA0045,Planning,Analyst,Female,54,4,Master,41400.0,70.5,11,72
DGA0046,HR,Director,Male,41,27,Bachelor,43400.0,64.3,18,14
DGA0047,Planning,Officer,Female,44,22,Master,41200.0,76.6,5,48
DGA0048,Technology,Analyst,Female,49,17,Bachelor,40700.0,72.2,1,87
DGA0049,Technology,Analyst,Male,46,9,Master,28100.0,82.7,11,67
DGA0050,Policy,Officer,Female,37,1,Bachelor,26800.0,70.6,18,11
DGA0051,Finance,Staff,Male,43,21,Master,43900.0,96.2,4,58
DGA0052,HR,Analyst,Male,36,20,Bachelor,37900.0,,11,36
DGA0053,Finance,Officer,Female,43,13,Master,44800.0,71.1,16,60
DGA0054,Finance,Analyst,Male,36,28,Bachelor,15000.0,90.4,16,100
DGA0055,Technology,Staff,Male,33,16,Master,29000.0,50.7,9,42
DGA0056,Finance,Analyst,Female,31,29,Master,57900.0,80.1,16,69
DGA0057,Policy,Staff,Female,52,13,PhD,41600.0,75.4,14,38
DGA0058,Policy,Officer,Male,38,14,Master,38500.0,53.8,11,55
DGA0059,Policy,Section Head,Female,55,3,Bachelor,43500.0,49.4,15,62
DGA0060,Planning,Analyst,Male,43,29,Master,61500.0,90.2,18,45
DGA0061,Planning,Officer,Male,40,6,Bachelor,59000.0,89.4,7,87
DGA0062,Planning,Analyst,Female,29,18,Bachelor,16000.0,77.6,16,10
DGA0063,HR,Section Head,Female,59,19,Bachelor,20500.0,100.0,4,61
DGA0064,Planning,Director,Female,36,5,Master,15600.0,81.6,15,76
DGA0065,Planning,Analyst,Female,49,15,Master,26000.0,,5,97
DGA0066,Technology,Staff,Female,45,25,Bachelor,35700.0,81.3,7,24
DGA0067,Policy,Director,Female,47,2,Master,37900.0,70.9,17,70
DGA0068,HR,Officer,Male,40,10,Bachelor,16600.0,59.1,11,51
DGA0069,Policy,Officer,Female,38,24,Bachelor,15000.0,65.9,14,3
DGA0070,Finance,Analyst,Male,55,18,Bachelor,25800.0,71.1,8,58
DGA0071,HR,Analyst,Male,29,27,Bachelor,46000.0,95.4,12,71
DGA0072,Policy,Director,Male,59,13,Bachelor,48100.0,86.5,14,19
DGA0073,Policy,Section Head,Male,47,5,Master,55500.0,80.0,9,92
DGA0074,HR,Staff,Female,53,23,Master,34600.0,88.1,15,62
DGA0075,HR,Officer,Female,35,24,Bachelor,,82.9,6,53
DGA0076,HR,Officer,Female,42,1,Bachelor,47100.0,78.9,16,116
DGA0077,HR,Staff,Male,36,22,Bachelor,29000.0,52.5,6,114
DGA0078,Policy,Director,Male,33,1,Master,39700.0,92.1,13,108
DGA0079,Planning,Director,Male,34,18,Bachelor,42900.0,68.1,14,109
DGA0080,Policy,Staff,Male,41,15,Master,24100.0,91.3,6,73
DGA0081,Finance,Staff,Female,31,17,PhD,54700.0,92.8,8,106
DGA0082,Technology,Analyst,Female,37,11,Master,34500.0,64.9,18,97
DGA0083,Planning,Analyst,Female,33,21,PhD,36000.0,89.2,15,56
DGA0084,Policy,Director,Male,51,26,Bachelor,23600.0,69.6,7,89
DGA0085,Planning,Staff,Female,26,25,Master,25600.0,69.7,17,40
DGA0086,Planning,Analyst,Female,29,22,Master,,78.9,17,112
DGA0087,HR,Analyst,Female,53,27,Master,35700.0,79.3,19,2
DGA0088,Technology,Staff,Female,43,27,Bachelor,65100.0,75.6,6,119
DGA0089,Finance,Analyst,Male,32,17,Bachelor,22800.0,55.0,2,5
DGA0090,Technology,Analyst,Male,25,13,Bachelor,70700.0,73.2,17,4
DGA0091,Policy,Officer,Male,46,1,Master,52000.0,100.0,9,4
DGA0092,HR,Staff,Female,41,2,Master,29300.0,33.2,6,53
DGA0093,HR,Staff,Male,31,9,Master,35300.0,88.0,16,46
DGA0094,Technology,Analyst,Male,49,3,Bachelor,33400.0,90.9,13,86
DGA0095,HR,Staff,Male,28,1,Master,55500.0,54.6,2,48
DGA0096,Technology,Analyst,Male,30,21,Bachelor,41200.0,68.0,11,8
DGA0097,Technology,Officer,Female,55,16,Bachelor,49200.0,,12,98
DGA0098,Planning,Staff,Female,43,23,Bachelor,39300.0,100.0,1,19
DGA0099,Policy,Staff,Female,51,6,Master,33700.0,91.5,2,112
DGA0100,Policy,Director,Male,34,28,Bachelor,38900.0,92.3,4,60
DGA0101,Policy,Staff,Female,50,17,Master,30100.0,76.8,10,105
DGA0102,Technology,Officer,Female,43,5,Master,17600.0,94.7,7,34
DGA0103,Planning,Analyst,Male,27,5,Bachelor,44800.0,74.9,11,49
DGA0104,Technology,Officer,Male,37,6,Master,17000.0,95.4,6,81
DGA0105,Finance,Analyst,Male,52,3,Bachelor,31800.0,72.8,14,61
DGA0106,Policy,Analyst,Female,44,21,Bachelor,29700.0,64.8,16,16
DGA0107,Planning,Section Head,Female,52,23,Bachelor,42700.0,100.0,3,87
DGA0108,HR,Officer,Male,32,5,Bachelor,53800.0,74.7,12,2
DGA0109,Policy,Director,Male,25,21,Master,49500.0,61.5,17,31
DGA0110,Policy,Staff,Female,27,5,Bachelor,43100.0,61.4,0,98
DGA0111,Planning,Staff,Female,37,10,Master,27400.0,61.4,15,101
DGA0112,Policy,Officer,Female,52,10,Master,32800.0,87.7,12,12
DGA0113,Finance,Officer,Female,49,19,Master,31000.0,73.5,9,119
DGA0114,HR,Officer,Male,57,17,Master,29400.0,100.0,11,110
DGA0115,Technology,Analyst,Male,30,21,Master,30200.0,92.8,1,88
DGA0116,Finance,Staff,Female,56,14,Bachelor,29900.0,78.9,2,72
DGA0117,HR,Analyst,Male,45,9,Bachelor,29300.0,96.1,9,67
DGA0118,Policy,Analyst,Female,40,14,Master,46400.0,67.6,1,13
DGA0119,Finance,Staff,Female,45,1,Master,,47.2,12,100
DGA0120,Technology,Analyst,Female,35,19,Bachelor,26200.0,60.2,12,97
