ปี,ไตรมาส,แหล่งน้ำ,จุดตรวจวัด,BOD,DO,FCB,NH3,NO3,TCB,WQI,ระดับ,target_binary,target_multi
2562,1,แม่น้ำป่าสัก,PS05,1.7,5.0,480.0,0.11,0.02,3500,67,พอใช้,ผ่าน,พอใช้
2562,1,แม่น้ำป่าสัก,PS06,1.3,5.0,5400.0,0.09,0.01,16000,61,พอใช้,ผ่าน,พอใช้
2562,1,แม่น้ำป่าสัก,PS07,1.8,7.8,700.0,0.09,0.01,5400,70,พอใช้,ผ่าน,พอใช้
2562,2,แม่น้ำป่าสัก,PS04,3.3,4.8,5400.0,0.13,0.33,16000,53,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2562,2,แม่น้ำป่าสัก,PS05,1.8,4.0,220.0,0.13,0.25,1300,70,พอใช้,ผ่าน,พอใช้
2562,2,แม่น้ำป่าสัก,PS06,1.2,4.2,20.0,0.1,0.06,78,85,ดี,ผ่าน,ดี
2562,2,แม่น้ำป่าสัก,PS07,2.0,7.0,3300.0,0.07,0.34,7000,64,พอใช้,ผ่าน,พอใช้
2562,3,แม่น้ำป่าสัก,PS04,1.3,5.6,5400.0,0.26,0.51,16000,58,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2562,3,แม่น้ำป่าสัก,PS05,1.5,7.0,1700.0,0.09,0.2,5400,67,พอใช้,ผ่าน,พอใช้
2562,3,แม่น้ำป่าสัก,PS06,1.6,7.0,78.0,0.07,0.01,140,78,ดี,ผ่าน,ดี
2562,3,แม่น้ำป่าสัก,PS07,2.0,6.8,330.0,0.06,0.01,790,74,ดี,ผ่าน,ดี
2562,4,แม่น้ำป่าสัก,PS04,7.3,7.0,1300.0,0.06,0.53,2400,53,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2562,4,แม่น้ำป่าสัก,PS05,1.1,4.0,490.0,0.17,0.43,490,81,ดี,ผ่าน,ดี
2562,4,แม่น้ำป่าสัก,PS06,1.3,5.6,330.0,0.16,0.1,490,83,ดี,ผ่าน,ดี
2562,4,แม่น้ำป่าสัก,PS07,1.9,3.8,5400.0,0.17,0.04,9200,56,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2563,1,แม่น้ำป่าสัก,PS04,3.5,6.6,3500.0,0.36,0.41,16000,52,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2563,1,แม่น้ำป่าสัก,PS05,1.8,5.6,1400.0,0.15,0.05,9200,61,พอใช้,ผ่าน,พอใช้
2563,1,แม่น้ำป่าสัก,PS06,2.1,5.6,790.0,0.06,0.04,1300,63,พอใช้,ผ่าน,พอใช้
2563,1,แม่น้ำป่าสัก,PS07,1.6,3.6,490.0,0.08,0.03,5400,65,พอใช้,ผ่าน,พอใช้
2563,2,แม่น้ำป่าสัก,PS04,3.3,9.4,490.0,0.28,1.05,2200,58,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2563,2,แม่น้ำป่าสัก,PS05,2.3,6.5,230.0,0.13,0.46,2400,64,พอใช้,ผ่าน,พอใช้
2563,2,แม่น้ำป่าสัก,PS06,1.6,7.6,130.0,0.02,,330,80,ดี,ผ่าน,ดี
2563,2,แม่น้ำป่าสัก,PS07,2.3,6.9,5400.0,0.04,,16000,56,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2563,3,แม่น้ำป่าสัก,PS04,3.9,5.2,790.0,0.37,1.04,9200,52,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2563,3,แม่น้ำป่าสัก,PS05,2.2,2.4,790.0,0.15,0.41,5400,55,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2563,3,แม่น้ำป่าสัก,PS06,2.1,4.8,130.0,0.09,0.05,230,67,พอใช้,ผ่าน,พอใช้
2563,3,แม่น้ำป่าสัก,PS07,3.1,3.8,790.0,0.1,0.06,5400,58,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2563,4,แม่น้ำป่าสัก,PS04,3.2,4.2,5400.0,0.24,0.61,9200,61,พอใช้,ผ่าน,พอใช้
2563,4,แม่น้ำป่าสัก,PS05,2.5,3.8,5400.0,0.44,0.43,5400,52,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2563,4,แม่น้ำป่าสัก,PS06,2.7,4.6,130.0,0.05,0.07,330,66,พอใช้,ผ่าน,พอใช้
2563,4,แม่น้ำป่าสัก,PS07,2.8,5.0,330.0,0.03,0.01,790,65,พอใช้,ผ่าน,พอใช้
2564,1,แม่น้ำป่าสัก,PS04,2.2,4.4,3500.0,0.16,0.43,5400,57,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2564,1,แม่น้ำป่าสัก,PS05,1.8,4.9,1300.0,0.1,0.43,2400,65,พอใช้,ผ่าน,พอใช้
2564,1,แม่น้ำป่าสัก,PS06,1.5,5.7,130.0,0.06,0.08,330,86,ดี,ผ่าน,ดี
2564,1,แม่น้ำป่าสัก,PS07,2.7,6.1,330.0,0.04,0.54,1100,66,พอใช้,ผ่าน,พอใช้
2564,2,แม่น้ำป่าสัก,PS04,1.7,5.0,3500.0,0.32,0.38,16000,66,พอใช้,ผ่าน,พอใช้
2564,2,แม่น้ำป่าสัก,PS05,1.2,6.4,230.0,0.06,0.21,1100,87,ดี,ผ่าน,ดี
2564,2,แม่น้ำป่าสัก,PS06,1.2,7.4,490.0,0.04,,2400,87,ดี,ผ่าน,ดี
2564,2,แม่น้ำป่าสัก,PS07,1.8,5.6,790.0,0.05,,5400,66,พอใช้,ผ่าน,พอใช้
2564,3,แม่น้ำป่าสัก,PS04,4.5,12.0,1300.0,0.04,1.63,3500,50,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2564,3,แม่น้ำป่าสัก,PS05,4.0,4.9,1300.0,0.56,1.76,5400,60,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2564,3,แม่น้ำป่าสัก,PS06,1.1,7.8,270.0,0.03,0.09,1300,91,ดี,ผ่าน,ดี
2564,3,แม่น้ำป่าสัก,PS07,2.3,3.4,5400.0,0.07,0.41,16000,55,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2564,4,แม่น้ำป่าสัก,PS04,5.7,9.9,490.0,0.13,1.53,5400,47,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2564,4,แม่น้ำป่าสัก,PS05,3.6,4.9,330.0,0.52,1.27,790,60,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2564,4,แม่น้ำป่าสัก,PS06,1.3,7.5,130.0,0.15,0.25,330,88,ดี,ผ่าน,ดี
2564,4,แม่น้ำป่าสัก,PS07,2.9,5.8,7900.0,0.25,0.24,17000,52,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2565,1,แม่น้ำป่าสัก,PS04,1.6,9.0,790.0,0.09,0.48,9200,63,พอใช้,ผ่าน,พอใช้
2565,1,แม่น้ำป่าสัก,PS05,3.0,8.2,5400.0,0.07,0.3,5400,58,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2565,1,แม่น้ำป่าสัก,PS06,4.0,8.8,130.0,0.08,0.07,230,64,พอใช้,ผ่าน,พอใช้
2565,1,แม่น้ำป่าสัก,PS07,3.5,8.0,230.0,0.08,1.28,230,69,พอใช้,ผ่าน,พอใช้
2565,2,แม่น้ำป่าสัก,PS04,2.2,6.8,1700.0,0.15,0.47,16000,60,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2565,2,แม่น้ำป่าสัก,PS05,1.5,6.4,1300.0,0.09,0.46,2400,69,พอใช้,ผ่าน,พอใช้
2565,2,แม่น้ำป่าสัก,PS06,1.8,6.8,45.0,0.07,0.05,130,78,ดี,ผ่าน,ดี
2565,2,แม่น้ำป่าสัก,PS07,1.4,6.8,330.0,0.04,0.43,490,88,ดี,ผ่าน,ดี
2565,3,แม่น้ำป่าสัก,PS04,1.7,6.6,790.0,0.08,0.12,2400,70,พอใช้,ผ่าน,พอใช้
2565,3,แม่น้ำป่าสัก,PS05,1.1,6.6,790.0,0.08,0.08,9200,69,พอใช้,ผ่าน,พอใช้
2565,3,แม่น้ำป่าสัก,PS06,1.2,5.2,130.0,0.02,0.03,230,87,ดี,ผ่าน,ดี
2565,3,แม่น้ำป่าสัก,PS07,1.8,4.0,940.0,0.06,0.15,2200,66,พอใช้,ผ่าน,พอใช้
2565,4,แม่น้ำป่าสัก,PS04,3.6,7.2,9200.0,0.14,0.48,16000,56,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2565,4,แม่น้ำป่าสัก,PS05,1.3,6.2,1700.0,0.1,0.44,5400,65,พอใช้,ผ่าน,พอใช้
2565,4,แม่น้ำป่าสัก,PS06,2.8,7.8,330.0,0.06,0.04,790,69,พอใช้,ผ่าน,พอใช้
2565,4,แม่น้ำป่าสัก,PS07,2.7,5.2,2300.0,0.02,0.67,11000,60,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2566,1,แม่น้ำป่าสัก,PS04,1.3,5.8,1300.0,0.07,0.25,3500,67,พอใช้,ผ่าน,พอใช้
2566,1,แม่น้ำป่าสัก,PS05,1.4,5.8,330.0,0.02,0.22,1700,84,ดี,ผ่าน,ดี
2566,1,แม่น้ำป่าสัก,PS06,1.2,6.4,,0.02,0.04,20,90,ดี,ผ่าน,ดี
2566,1,แม่น้ำป่าสัก,PS07,1.2,4.2,78.0,0.03,0.89,130,87,ดี,ผ่าน,ดี
